Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),padNum,object_type,primitiveName,node_name,padNum,object_type,primitiveName,node_name
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 1000кВА №2 КП-3",КП-3,КТПН,eeKTPN,КТПН 2,КП-3,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 630кВА №1  КП-15",КП-15,КТПН,eeKTPN,КТПН 1,КП-15,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 630кВА №1  КП-3",КП-3,КТПН,eeKTPN,КТПН 1,КП-3,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8," КТПН 6/0,4кВ 630кВА №1 КП-23",КП-23,КТПН,eeKTPN,КТПН 1,КП-23,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8," КТПН 6/0,4кВ 630кВА №3 КП-23",КП-23,КТПН,eeKTPN,КТПН 3,КП-23,КТПН,eeKTPN,КТПН 3
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8,"КТПН 6/0,4 кВ 630 кВА №4 КП-23",КП-23,КТПН,eeKTPN,КТПН 4,КП-23,КТПН,eeKTPN,КТПН 4
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №1 КП-2",КП-2,КТПН,eeKTPN,КТПН 1,КП-2,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №2 КП-2",КП-2,КТПН,eeKTPN,КТПН 2,КП-2,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №3 КП-2",КП-2,КТПН,eeKTPN,КТПН 3,КП-2,КТПН,eeKTPN,КТПН 3
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 14,"КТПН 6/0,4 кВ 630 кВА №4 КП-2",КП-2,КТПН,eeKTPN,КТПН 4,КП-2,КТПН,eeKTPN,КТПН 4
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 15,"КТПН 6/0,4 кВ 630 кВА №2 КП-95",КП-95,КТПН,eeKTPN,КТПН 2,КП-95,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №1  КП-64",КП-64,КТПН,eeKTPN,КТПН 1,КП-64,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №1 КП-25",КП-25,КТПН,eeKTPN,КТПН 1,КП-25,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №1 КП-29",КП-29,КТПН,eeKTPN,КТПН 1,КП-29,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №2  КП-25",КП-25,КТПН,eeKTPN,КТПН 2,КП-25,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18," КТПН 6/0,4кВ 630кВА №2  КП-64",КП-64,КТПН,eeKTPN,КТПН 2,КП-64,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 400кВА  МДНС",,КТПН,eeKTPN,"КТПН 6/0,4 кВ 400кВА  МДНС",,КТПН,eeKTPN,"КТПН 6/0,4 кВ 400кВА  МДНС"
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №1 КП-1",КП-1,КТПН,eeKTPN,КТПН 1,КП-1,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №2 КП-1",КП-1,КТПН,eeKTPN,КТПН 2,КП-1,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №3 КП-1",КП-1,КТПН,eeKTPN,КТПН 3,КП-1,КТПН,eeKTPN,КТПН 3
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №4 КП-1",КП-1,КТПН,eeKTPN,КТПН 4,КП-1,КТПН,eeKTPN,КТПН 4
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №5 КП-1",КП-1,КТПН,eeKTPN,КТПН 5,КП-1,КТПН,eeKTPN,КТПН 5
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 18,"КТПН 6/0,4 кВ 630 кВА №6 КП-1",КП-1,КТПН,eeKTPN,КТПН 6,КП-1,КТПН,eeKTPN,КТПН 6
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19," КТПН 6/0,4кВ 25 кВА ""Вертодром""",,КТПН,eeKTPN," КТПН 6/0,4кВ 25 кВА ""Вертодром""",,КТПН,eeKTPN," КТПН 6/0,4кВ 25 кВА ""Вертодром"""
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19," КТПН 6/0,4кВ 630кВА №2 КП-15",КП-15,КТПН,eeKTPN,КТПН 2,КП-15,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19,"КТПН 6/0,4 кВ 1000кВА №1 КП-14",КП-14,КТПН,eeKTPN,КТПН 1,КП-14,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19,"КТПН 6/0,4 кВ 630кВА №2 КП-14",КП-14,КТПН,eeKTPN,КТПН 2,КП-14,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.14," КТПН 6/0,4кВ 630кВА  №2 КП-37",КП-37,КТПН,eeKTPN,КТПН 2,КП-37,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.14,"КТПН 6/0,4 кВ 1000 кВА №2 КП-71",КП-71,КТПН,eeKTPN,КТПН 2,КП-71,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.2," КТПН 6/0,4кВ 630кВА  №1 КП-40",КП-40,КТПН,eeKTPN,КТПН 1,КП-40,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.5,"КТПН 6/0,4 кВ 1000кВА №1 КП-43",КП-43,КТПН,eeKTPN,КТПН 1,КП-43,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.9," КТПН 6/0,4кВ 630кВА  №1 КП-37",КП-37,КТПН,eeKTPN,КТПН 1,КП-37,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ 1000кВА №1 КП-44",КП-44,КТПН,eeKTPN,КТПН 1,КП-44,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ 1000кВА №2 КП-44",КП-44,КТПН,eeKTPN,КТПН 2,КП-44,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19 ,"КТПН 6/0,4 кВ 1000кВА №1 КП-230",КП-230,КТПН,eeKTPN,КТПН 1,КП-230,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19 ,"КТПН 6/0,4 кВ 1000кВА №2 КП-230",КП-230,КТПН,eeKTPN,КТПН 2,КП-230,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",КП-45,КТПН,eeKTPN,КТПН 1,КП-45,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №2 КП-45",КП-45,КТПН,eeKTPN,КТПН 2,КП-45,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 1000кВА №2 КП-40 Б",КП-40Б,КТПН,eeKTPN,КТПН 2,КП-40Б,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 400 кВА №2 К-45 Б",К-45Б,КТПН,eeKTPN,КТПН 2,К-45Б,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 630кВА №2 КП-43",КП-43,КТПН,eeKTPN,КТПН 2,КП-43,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",КП-40,КТПН,eeKTPN,КТПН 2,КП-40,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13","КТПН6/0,4кВ1000кВАКП-13",КТПН,eeKTPN,КТПН ,"КТПН6/0,4кВ1000кВАКП-13",КТПН,eeKTPN,КТПН 
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 630кВА №1 КП-18",КП-18,КТПН,eeKTPN,КТПН 1,КП-18,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 630кВА №2 КП-18",КП-18,КТПН,eeKTPN,КТПН 2,КП-18,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3,"КТПН 6/0,4 кВ 630 кВА №2 КП-13 Б",КП-13Б,КТПН,eeKTPN,КТПН 2,КП-13Б,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 3,"КТПН 6/0,4 кВ 630кВА №2 К-118",К-118,КТПН,eeKTPN,КТПН 2,К-118,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч. 8," КТПН 6/0,4кВ 630кВА  КП-30","КТПН6/0,4кВ630кВАКП-30",КТПН,eeKTPN,КТПН ,"КТПН6/0,4кВ630кВАКП-30",КТПН,eeKTPN,КТПН 
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.13," КТПН 6/0,4кВ 250кВА  Р-183",,КТПН,eeKTPN," КТПН 6/0,4кВ 250кВА  Р-183",,КТПН,eeKTPN," КТПН 6/0,4кВ 250кВА  Р-183"
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.13," КТПН 6/0,4кВ 630кВА №1 КП-22",КП-22,КТПН,eeKTPN,КТПН 1,КП-22,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.13," КТПН 6/0,4кВ 630кВА №2  КП-22",КП-22,КТПН,eeKTPN,КТПН 2,КП-22,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.13,"КТПН 6/0,4 кВ 400кВА №2 К-27",К-27,КТПН,eeKTPN,КТПН 2,К-27,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.13,"КТПН 6/0,4 кВ 630 кВА №1 К-118",К-118,КТПН,eeKTPN,КТПН 1,К-118,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 1000кВА №1 КП-83",КП-83,КТПН,eeKTPN,КТПН 1,КП-83,КТПН,eeKTPN,КТПН 1
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №1 яч.11,"БКТП 6/630,4 кВ Жил.посёлок 1Т",,БКТП,eeKTPN,"БКТП 6/630,4 кВ Жил.посёлок 1Т",,БКТП,eeKTPN,"БКТП 6/630,4 кВ Жил.посёлок 1Т"
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №1 яч.7,"БКТП 6/0,4 кВ ДНС-1 1Т",,БКТП,eeKTPN,"БКТП 6/0,4 кВ ДНС-1 1Т",,БКТП,eeKTPN,"БКТП 6/0,4 кВ ДНС-1 1Т"
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",,КТПН,eeKTPN," КТПН 6/0,4 кВ ДНС-1",,КТПН,eeKTPN," КТПН 6/0,4 кВ ДНС-1"
с/р №10,РУ 6 кВ ДНС-1,СШ 6 кВ №2 яч.8,"БКТП 6/0,4 кВ ДНС-1 2Т",,БКТП,eeKTPN,"БКТП 6/0,4 кВ ДНС-1 2Т",,БКТП,eeKTPN,"БКТП 6/0,4 кВ ДНС-1 2Т"
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",КП-38,КТПН,eeKTPN,КТПН 3,КП-38,КТПН,eeKTPN,КТПН 3
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 250кВА  Р-211",,КТПН,eeKTPN," КТПН 6/0,4кВ 250кВА  Р-211",,КТПН,eeKTPN," КТПН 6/0,4кВ 250кВА  Р-211"
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 250кВА  Р-215",,КТПН,eeKTPN," КТПН 6/0,4кВ 250кВА  Р-215",,КТПН,eeKTPN," КТПН 6/0,4кВ 250кВА  Р-215"
с/р №10,"РУ 6 кВ ЭЦ ""ГПЭС-1""",СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 630кВА №2  КП-38",КП-38,КТПН,eeKTPN,КТПН 2,КП-38,КТПН,eeKTPN,КТПН 2
с/р №9,КРУ 6кВ ГТЭС ДНС-2,СШ 6 кВ №1 яч. 21,"КТПН 6/0,4 кВ №1 К-94 бис",К-94бис,КТПН,eeKTPN,КТПН 1,К-94бис,КТПН,eeKTPN,КТПН 1
с/р №9,КРУ 6кВ ГТЭС ДНС-2,СШ 6 кВ №1 яч. 21,"КТПН 6/0,4 кВ №2 К-94 бис",К-94бис,КТПН,eeKTPN,КТПН 2,К-94бис,КТПН,eeKTPN,КТПН 2
с/р №9,КРУ 6кВ ГТЭС ДНС-2,СШ 6 кВ №2 яч.№2,"КТПН 6/0,4кВ 1000кВА №2 К-34",К-34,КТПН,eeKTPN,КТПН 2,К-34,КТПН,eeKTPN,КТПН 2
с/р №9,КРУ 6кВ ГТЭС ДНС-2,СШ 6 кВ №2 яч.№2,"КТПН 6/0,4кВ 630кВА №1 К-34",К-34,КТПН,eeKTPN,КТПН 1,К-34,КТПН,eeKTPN,КТПН 1
с/р №9,КРУ 6кВ ГТЭС ДНС-2,СШ 6 кВ №2 яч.№2,"КТПН 6/0,4кВ 630кВА №3 К-34",К-34,КТПН,eeKTPN,КТПН 3,К-34,КТПН,eeKTPN,КТПН 3
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.13,"КТПН 6/0,4 кВ 400кВА №1 КП-78",КП-78,КТПН,eeKTPN,КТПН 1,КП-78,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.13,"КТПН 6/0,4 кВ 400кВА №2 КП-78",КП-78,КТПН,eeKTPN,КТПН 2,КП-78,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4 кВ 1000 кВА №1 КП-155",КП-155,КТПН,eeKTPN,КТПН 1,КП-155,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4 кВ 1000 кВА №2 КП-155",КП-155,КТПН,eeKTPN,КТПН 2,КП-155,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4кВ 6300 кВА №2 К-36",К-36,КТПН,eeKTPN,КТПН 2,К-36,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4кВ 630кВА №1 К-5",К-5,КТПН,eeKTPN,КТПН 1,К-5,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4кВ 630кВА №2 К-35",К-35,КТПН,eeKTPN,КТПН 2,К-35,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4кВ 630кВА №2 К-5",К-5,КТПН,eeKTPN,КТПН 2,К-5,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4кВ 630кВА №3 К-5",К-5,КТПН,eeKTPN,КТПН 3,К-5,КТПН,eeKTPN,КТПН 3
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.14,"КТПН 6/0,4кВ 630кВА №4 К-5",К-5,КТПН,eeKTPN,КТПН 4,К-5,КТПН,eeKTPN,КТПН 4
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.15,"КТПН 6/0,4кВ 250кВА №1 К-20",К-20,КТПН,eeKTPN,КТПН 1,К-20,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.15,"КТПН 6/0,4кВ 250кВА №2 К-20",К-20,КТПН,eeKTPN,КТПН 2,К-20,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.15,"КТПН 6/0,4кВ 630кВА №1 К-33",К-33,КТПН,eeKTPN,КТПН 1,К-33,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.15,"КТПН 6/0,4кВ 630кВА №2 К-33",К-33,КТПН,eeKTPN,КТПН 2,К-33,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.15,"КТПН 6/0,4кВ 630кВА №3 К-33",К-33,КТПН,eeKTPN,КТПН 3,К-33,КТПН,eeKTPN,КТПН 3
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.15,"КТПН 6/0,4кВ №1 1000кВА КП-60",1000кВАКП-60,КТПН,eeKTPN,КТПН 1,1000кВАКП-60,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №1 яч.9,"КТПН 6/0,4кВ 630кВА №1 К-35",К-35,КТПН,eeKTPN,КТПН 1,К-35,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №2 яч.16,"КТПН 6/0,4 кВ 400кВА №3 КП-78",КП-78,КТПН,eeKTPN,КТПН 3,КП-78,КТПН,eeKTPN,КТПН 3
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №2 яч.22,"БКТП 6/0,4 кВ 2х630кВА ОБП-2 1Т",,БКТП,eeKTPN,"БКТП 6/0,4 кВ 2х630кВА ОБП-2 1Т",,БКТП,eeKTPN,"БКТП 6/0,4 кВ 2х630кВА ОБП-2 1Т"
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №2 яч.22,"КТПН 6/0,4кВ 630кВА  №1 К-7",К-7,КТПН,eeKTPN,КТПН 1,К-7,КТПН,eeKTPN,КТПН 1
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №2 яч.22,"КТПН 6/0,4кВ 630кВА  №2 К-7",К-7,КТПН,eeKTPN,КТПН 2,К-7,КТПН,eeKTPN,КТПН 2
с/р №9,КРУН 6 кВ ДНС-2,СШ 6 кВ №2 яч.22,"КТПН 6/0,4кВ 630кВА  №3 К-7",К-7,КТПН,eeKTPN,КТПН 3,К-7,КТПН,eeKTPN,КТПН 3
