__pad_num,__well_num,node_id
230,2300,Тайлаковское 230 2300
230,2302,Тайлаковское 230 2302
230,2303,Тайлаковское 230 2303
230,2304,Тайлаковское 230 2304
230,2306,Тайлаковское 230 2306
37,3702,Тайлаковское 37 3702
37,3703,Тайлаковское 37 3703
37,3742,Тайлаковское 37 3742
37,3780,Тайлаковское 37 3780
37,3781,Тайлаковское 37 3781
37,470,Тайлаковское 37 470
40,1756,Тайлаковское 40 1756
40,571,Тайлаковское 40 571
40,572,Тайлаковское 40 572
40,573,Тайлаковское 40 573
40,580,Тайлаковское 40 580
40,581,Тайлаковское 40 581
40,582,Тайлаковское 40 582
40б,400,Тайлаковское 40б 400
40б,401,Тайлаковское 40б 401
40б,402,Тайлаковское 40б 402
40б,404,Тайлаковское 40б 404
40б,408,Тайлаковское 40б 408
40б,409,Тайлаковское 40б 409
40б,410,Тайлаковское 40б 410
40б,411,Тайлаковское 40б 411
40б,412,Тайлаковское 40б 412
40б,416,Тайлаковское 40б 416
40б,418,Тайлаковское 40б 418
40б,421,Тайлаковское 40б 421
43,4301,Тайлаковское 43 4301
43,4302,Тайлаковское 43 4302
43,4304,Тайлаковское 43 4304
43,4308,Тайлаковское 43 4308
44,5999,Тайлаковское 44 5999
44,6001,Тайлаковское 44 6001
44,6002,Тайлаковское 44 6002
44,6003,Тайлаковское 44 6003
44,6004,Тайлаковское 44 6004
44,6005,Тайлаковское 44 6005
45,1500,Тайлаковское 45 1500
45,1501,Тайлаковское 45 1501
45,1503,Тайлаковское 45 1503
45,1506,Тайлаковское 45 1506
45,1508,Тайлаковское 45 1508
45,1513,Тайлаковское 45 1513
45,627,Тайлаковское 45 627
55,1412,Тайлаковское 55 1412
55,1413,Тайлаковское 55 1413
55,1414,Тайлаковское 55 1414
55,1415,Тайлаковское 55 1415
55,1416,Тайлаковское 55 1416
55,1417,Тайлаковское 55 1417
55,1418,Тайлаковское 55 1418
55,1600,Тайлаковское 55 1600
55,1602,Тайлаковское 55 1602
55,1603,Тайлаковское 55 1603
55,1606,Тайлаковское 55 1606
55,1608,Тайлаковское 55 1608
55,1613,Тайлаковское 55 1613
71,1900,Тайлаковское 71 1900
71,1902,Тайлаковское 71 1902
71,1903,Тайлаковское 71 1903
71,1906,Тайлаковское 71 1906
71,1907,Тайлаковское 71 1907
71,1911,Тайлаковское 71 1911
88,1620,Тайлаковское 88 1620
88,1622,Тайлаковское 88 1622
88,1626,Тайлаковское 88 1626
88,1628,Тайлаковское 88 1628
88,1631,Тайлаковское 88 1631
88,1633,Тайлаковское 88 1633
88,1636,Тайлаковское 88 1636
88,1637,Тайлаковское 88 1637
88,1638,Тайлаковское 88 1638
88,882,Тайлаковское 88 882
88,883,Тайлаковское 88 883
96,100,Тайлаковское 96 100
96,104,Тайлаковское 96 104
96,110,Тайлаковское 96 110
96,98,Тайлаковское 96 98