Электроустановка,Подразделение,"СШ, №яч.",Дисп. наименование КТП(Н),"S, кВА","I ном., А",№ авт. (тип),"I ном.авт., А","Тип блока защит АВ-0,4кВ","Прогрузка АВ-0,4кВ",Уставка МТЗ,Уставка МТО,Диап. рег. уст. МТЗ,Диап. рег. уст. МТО,Потребитель,"ЭЦН, ШГН","Р факт., кВт",Состояние,"I факт., А","Загр. КТПН, %","U факт. КТПН, В",ПБВ Кол-во,ПБВ Полож.,Дата замера,"U на СУ, В",Селективность действия защит,"Qжидк., куб.м./с","Qн., тонн","Время АПВ, мин.",Рем. № КТПН,ktpn_object_type,ktpn_primitiveName,padNum,ktpn_node_name,eu_type,eu_primitiveName,eu_node_name
"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №1 яч. 5," КТПН 6/0,4кВ 1000кВА №2 КП-3",1000.0,1445.1,0(AN-16D3-16H),1600.0,Встроен,2014-06-19 00:00:00,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Остановлен,168.0,11.0,383.0,5,3,2023-01-03,0.0,,0.0,0.0,0.0,52/14,КТПН,eeKTPN,КП-3,КТПН 2,ПС 35/6 кВ,eeSubstation,Абазаров
"ПС 35/6 кВ ""Абазаров"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №2 яч. 19," КТПН 6/0,4кВ 25 кВА ""Вертодром""",25.0,36.1,0(Рубильник),250.0,Встроен,93.6.11,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Запущен,0.0,18.0,389.0,5,3,2022-07-15,0.0,,0.0,0.0,0.0,1735,КТПН,eeKTPN,КП-64," КТПН 6/0,4кВ 25 кВА ""Вертодром""",ПС 35/6 кВ,eeSubstation,Абазаров
КРУ 6кВ ГТЭС ДНС-2,с/р №9,СШ 6 кВ №1 яч. 21,"КТПН 6/0,4 кВ №1 К-94 бис",400.0,578.0,0(CVS630F),0.0,МРТ 5,2012,0.0,0.0,"0,4-1,1",2023-10-02 00:00:00,БСК,ЭЦН,0.0,Запущен,0.0,0.0,402.0,5,3,2022-07-18,0.0,,0.0,0.0,0.0,2023-09-12 00:00:00,КТПН,eeKTPN,К-94бис,КТПН 1,КРУ 6кВ,eeKru,ГТЭС ДНС-2
РУ 6 кВ ДНС-1,с/р №10,СШ 6 кВ №2 яч.12," КТПН 6/0,4 кВ ДНС-1",400.0,578.0,0(ВА 5739),630.0,,,0.0,0.0,,,Ввод,,0.0,Остановлен,12.0,2.0,403.0,5,2,2022-07-07,0.0,,0.0,0.0,0.0,17309,КТПН,eeKTPN,," КТПН 6/0,4 кВ ДНС-1",РУ 6 кВ,eeRu,ДНС-1
КРУН 6 кВ ДНС-2,с/р №9,СШ 6 кВ №2 яч.22,"БКТП 6/0,4 кВ 2х630кВА ОБП-2 1Т",630.0,910.4,0(ВА 55-41),1000.0,МРТ 5,2018-09-16 00:00:00,0.0,0.0,"0,6-1",2023-12-02 00:00:00,Вводной автомат,ЭЦН,0.0,Запущен,111.0,42.0,385.0,5,3,2021-04-09,0.0,Селективный,0.0,0.0,0.0,52/10,БКТП,eeKTPN,КП-155,"БКТП 6/0,4 кВ 2х630кВА ОБП-2 1Т",КРУН 6 кВ,eeKrun,ДНС-2
РУ 6 кВ ДНС-2,с/р №9,СШ 6 кВ №1 яч.17," КТПН 6/0,4кВ 250кВА №1 Котельная",400.0,578.0,0(ВА57-35),630.0,МРТ 2,2013,0.0,0.0,"0,4-1,1",2023-10-02 00:00:00,Вводной автомат,ЭЦН,0.0,Запущен,0.0,59.0,390.0,5,2,2022-05-08,0.0,,0.0,0.0,0.0,49/11,КТПН,eeKTPN,К-19," КТПН 6/0,4кВ 250кВА №1 Котельная",РУ 6 кВ,eeRu,ДНС-2
РУ 6 кВ КНС-2,с/р №9,СШ 6 кВ №1 яч.7,"БКТП 6/0,4кВ КНС-2 1Т",400.0,578.0,0(ВА 55-41),1000.0,МРТ 2,2009,0.0,0.0,"0,4-1",2023-10-02 00:00:00,Вводной автомат,ЭЦН,84.0,Запущен,168.0,0.0,400.0,0,0,2022-06-18,0.0,Неселективный,0.0,0.0,0.0,104/09,БКТП,eeKTPN,К-6,"БКТП 6/0,4кВ КНС-2 1Т",РУ 6 кВ,eeRu,КНС-2
"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,0(ВА55-43),2000.0,МРТ 2,128.1.08,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Запущен,464.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,КТПН,eeKTPN,КП-40,КТПН 2,ПС 35/6 кВ,eeSubstation,Кузьмин
"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №1 яч.9," КТПН 6/0,4кВ 630кВА  №1 КП-37",630.0,910.4,0(ВА53-41),1000.0,МРТ 2,55.9.10,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Запущен,401.0,44.0,408.0,5,5,2022-09-28,0.0,,0.0,0.0,0.0,156/10,КТПН,eeKTPN,КП-37,КТПН 1,ПС 35/6 кВ,eeSubstation,Кузьмин
"ПС 35/6 кВ ""  "", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №2 яч.21," КТПН 6/0,4кВ 1000 кВА №2 КП-40",1000.0,1445.1,2(ВА57-35),250.0,,126.1.08,0.0,0.0,,,резерв,,0.0,,0.0,55.0,362.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,240,КТПН,eeKTPN,КП-40,КТПН 2,ПС 35/6 кВ,eeSubstation,Кузьмин
"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",с/р №9,СШ 6 кВ №1 яч.2,"КТПН 6/0,4 кВ 630кВА №1 КП-33бис",630.0,910.4,0(ВА 55-41),1000.0,МРТ 2,2012,1.0,8.0,"0,4-1,1",2023-10-02 00:00:00,Вводной автомат,ЭЦН,0.0,Запущен,207.0,22.0,401.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,2023-10-02 00:00:00,КТПН,eeKTPN,КП-33бис,КТПН 1,ПС 35/6 кВ,eeSubstation,Норкин
"ПС 35/6 кВ ""Норкин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",с/р №9,СШ 6 кВ №1 яч.2,"КТПН 6/0,4 кВ 630кВА №1 КП-33бис",630.0,910.4,0(ВА 55-41),1000.0,МРТ 2,2012,1.0,8.0,"0,4-1,1",2023-10-02 00:00:00,Вводной автомат,ЭЦН,0.0,Запущен,207.0,22.0,401.0,5,3,2022-05-09,0.0,,0.0,0.0,0.0,2023-10-02 00:00:00,КТПН,eeKTPN,КП-33бис,КТПН 1,ПС 35/6 кВ,eeSubstation,Норкин
"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №1 яч. 3," КТПН 6/0,4кВ 1000 кВА КП-13",1000.0,1445.1,0(LBA-16S),1600.0,Встроен,76.10.10,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Остановлен,431.0,29.0,393.0,5,3,2022-09-16,0.0,,0.0,0.0,0.0,186/10,КТПН,eeKTPN,"КТПН6/0,4кВ1000кВАКП-13",КТПН ,ПС 35/6 кВ,eeSubstation,Рынковой
"ПС 35/6 кВ ""Рынковой"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",с/р №10,СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 1000кВА №1 КП-83",1000.0,1445.1,0(AN-16D3-16H),1600.0,Встроен,,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Остановлен,118.0,,0.0,0,0,,0.0,,0.0,0.0,0.0,2779,КТПН,eeKTPN,КП-83,КТПН 1,ПС 35/6 кВ,eeSubstation,Рынковой
"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №1 (; ПБВ; 0)",с/р №9,СШ 6 кВ №1 яч.№15,"КТПН 6/0,4 кВ  1000 кВА №2 К-62бис",1000.0,1445.1,1(ВА 5543),2000.0,МРТ 5,2015,0.0,0.0,2018,2015-02-01 00:00:00,Вводной автомат,ЭЦН,0.0,Запущен,0.0,22.0,398.0,5,4,2022-05-11,0.0,,0.0,0.0,0.0,н8/09,КТПН,eeKTPN,К-62бис,КТПН 2,ПС 35/6 кВ,eeSubstation,Салманов
"ПС 35/6 кВ ""Салманов"", ТР-р 35/6 кВ № №2 (; ПБВ; 0)",с/р №9,СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 630 кВА №1 КП-62бис",630.0,910.4,0(ВА 5341),1000.0,МРТ 5,2018,0.0,0.0,"0,4-1,1",2023-10-02 00:00:00,173,ЭЦН,0.0,Запущен,0.0,0.0,415.0,5,3,2022-05-11,0.0,,0.0,0.0,0.0,36/10,КТПН,eeKTPN,КП-62бис,КТПН 1,ПС 35/6 кВ,eeSubstation,Салманов
"РУ 6 кВ ЭЦ ""ГПЭС-1""",с/р №10,СШ 6 кВ №2 яч. 15," КТПН 6/0,4кВ 1000 кВА №3 КП-38",1000.0,1445.1,0(AN-16D3),1600.0,Встроен,120.4.11,0.0,0.0,,,Вводной автомат,ЭЦН,0.0,Остановлен,405.0,28.0,397.0,5,3,2022-08-08,0.0,,0.0,0.0,0.0,1565,КТПН,eeKTPN,КП-38,КТПН 3,РУ 6 кВ,eeRu,ЭЦ ГПЭС-1
